position,skills
Team Leader -(NonTechnical),"Accounting,Continuous Improvement,Process Improvement,Load Balancing,Lean Six Sigma,Black Belt,Training,Green Belt,Process re - engineering,Process Excellence,Business Excellence,OTC"
Content Developer,"Automobile,Digital Content,Content Development,Production,Web Content Writing"
Sales/Business Development Manager,"Tourism,target achievement,negotiation skills,revenue management,Tour Packages"
Software Developer,"PHP,Networking,Data structures,HTTP,JSON,Software design,Computer science,System design,Backend,Ticketing"
DBA,"WebLogic,configuration,MySQL,installation,Oracle DBA,troubleshooting,Oracle RAC"
HR Executive,"Service level,Data management,HR Coordinator,Management audit,HR operations,Human resource management"
Software Developer,"Graphics,C++,Windows OS,Linux,high performance computing,Test cases,System software,Gaming,FreeBSD"
Head/VP/GM/National Manager -Sales,"Sales,Team Building,Strategic Leadership,Real Estate,Field Sales,Sales Strategy,Enterprise Business,Go - to - market Strategy,Enterprise sales,Sales Executive Activities,Marketing"
Centre Head / Branch Head / Club Manager,"Facility Management,facility services"
Associate/Senior Associate -(NonTechnical),"sds,radiology,CPT,icd - 10,EM,medical coding,coders,surgery,ed"
Sales/Business Development Manager,"Market analysis,Public relations,CV,Relationship building,Market intelligence,Prospecting,Budgeting,Sales process,Branding"
HR Executive,"ERP,MIS,Succession Planning,Reports,Talent Management,Human Resources,HR Policies,Recruitment,Talent Acquisition"
Sales/Business Development Manager,"revenue generation,marketing,ad sales,web technologies"
Project Architect,"co ordination,team management,drafting,loans,online,coordination,quality"
Software Developer,"English,PHP,XML,DOM,SOAP,Com,Web technologies,Written communication,Email,Time"
System Analyst,"cloud,puppet,python,git,KVM,linux,jenkins,openstack,ansible"
Software Developer,"National,Branch,Vice President,J2Ee,Software"
Software Developer,"Mentor,Android,Consulting,Usage,development,software,mobile,it,SIDE,Front end,Web technologies,Coding,web,backend,Open source,programming,Investment"
Testing Engineer,"Performance Testing,Software Testing,Manual Testing,Quality Testing"
Associate/Senior Associate -(NonTechnical),"international bpo,bpo,kpo,web chat,non voice process,e mail,international call center,customer service representative,cse,interpersonal skills,ites,uk shift,customer service,e - commerce,customer care,customer support,bpo fresher"
Front Office/Guest Relations Executive/Manager,"Innovative,Aggressive"
Design Engineer,"Communication Skills,Detail Engineering,Material Handling,AutoCAD,Detailing,Design Engineering,Microstation,Bid Evaluation"
Software Developer,"design,android,erp,software,mvc,quality"
Technical Writer,"Technical Writing,Technical Documentation,Articles,Writing Skills,Product Support"
Design Engineer,"Ansys,thermal,MATLAB,System design,Recruitment,MCCB,Electricals"
Sales/Business Development Manager,"Product placement,Market research,Distributor handling,Business Development Executive,Customer service,Customer Service Executive,Secondary sales,Supervision"
Accounts Executive/Accountant,"Management accounting,Accounting,VAT,Book Keeping,SAGE,Tax returns"
Sales/Business Development Manager,"Trade,Forex Trading,Forex,fx,Lead Generation,Accounting,Banking,Revenue Generation,Current Account"
Software Developer,"XML,Javascript,PHP,development,css,technical,analytical,software,testing,HTML,tools,Joomla,coding,jQuery,web,MySQL,Wordpress,design,XHTML,debugging,Ajax"
Engineering Manager,"zld,Engineering Management,knitting"
Accounts Executive/Accountant,"Analyst,ERP,Change management,Business objects,Managed services,Business process mapping,Executive management,Data mining,oracle project accounting,Testing"
Training Manager,"ERP,Succession Planning,MIS,Reports,Talent Management,Human Resources,HR Policies,Recruitment,Talent Acquisition"
Software Developer,"Intern,Linux,Windows,Unix,DNS,C++,Perl,IIS,Redhat,HTTP"
Software Developer,"C,Woocommerce,Magento,Wordpress,MySQL,PHP,Shopify,JQuery,Web Development,Ajax"
Software Developer,"CSS,Singleton,XML,Javascript,JDBC,Struts,JSON,HTML,Spring Boot,JQuery"
Sales/Business Development Manager,"Business Development Management,Bd,Marketing,business development,Projects,business development manager,bdm,Tendering,Proposal"
Testing Engineer,"Ethical Hacking,Certified Ethical Hacker,Networking Protocols,Penetration Testing,Nessus,NMAP,Fortify,Vulnerability Assessment,Appscan,Qualys"
Graphic Designer,"Graphic designing,Graphics,adobe creative suite,Architecture,MS Office,Business Executive"
Sales Executive/Officer,"Payment collection,Costing,Business Development Executive,Lead generation,Sales,Vendor,Cost"
Client Servicing Executive,"Internship,Digital marketing,Social media,Relationship building,Animation,Creative,Indesign,Business Executive,Presentation skills,Senior"
Sales Executive / Officer,"market penetration,marketing,customer satisfaction,enterprise business,web technologies,business development,strategy,aws,sales"
Software Developer,"jquery,git,microsoft sql server,net asp net,software,testing,ado.net,microsoft,tools,sql,unit tests,database,application,web,design,.net,object oriented programming,support,programming"
Recruitment Executive,"technical recruitment,us staffing,us recruitment,us recruiter,us it staffing,technical recruiter,it recruiter,recruiter,w2,c2c,talent acquisition,recruitment,staffing,sourcing"
Sales Coordinator,"Project Administration,Coordination"
Solution Architect / Enterprise Architect,"Order Management system,Sterling Commerce,Sterling,OMS,Sterling Integrator,ecommerce,E - commerce"
Software Developer,"analytical,documentation,web development,algorithms,development,javascript,sql server,jquery,database,web,flex,design,mysql,net"
Workman/Foreman/Technician,NCTVT
Software Developer,"Drupal,Application programming,MySQL,Wordpress,PHP,CakePHP,Team Leader,MVC,Zend,Software services"
Sales Executive/Officer,"Outbound,Sales,Project management,Analytical,Sales Lead,Automation tools,Sales process,marketing automation"
Design Engineer/Manager,"AutoCAD,3D Modeling,FMEA,Mechanical Engineering,Mechanical Design,SolidWorks"
Technical Lead/Project Lead,Automation Engineer
Team Leader -(NonTechnical),"Revenue Cycle Management,US Healthcare,Payment Posting,Medical Billing,Medical Coding,us visa,Team Leading Skills,Healthcare,Denial Management,RCM"
Quality Assurance/Quality Control Executive,"Voice process,qaqc,Writing,Process operations,Verbal"
Analytics Manager,"Predictive Modeling,SAS,Data Management,Data Mining,Tableau,Data Analytics,Statistics,Analytics,SQL,Python"
Trainee,"molecular biology,chemistry,biotechnology,bhms,biology,Physiotherapy,microbiology,nursing,biomedical,Physics,medical coding,biochemistry,pharmacy,Ophthalmology,micro biology,Bioinformatics,zoology,biotech"
Accounts Executive/Accountant,"accounts executive,accountant,Stock Management,gst,auditing,Statutory Compliance,accounting,Account Assistant,Bank Reconciliation,tax audit,banking,monthly reports,Payroll,salary processing,income tax,Income Tax Return,taxation"
Software Developer,"Informatica Power Center,Informatica"
Search Engine Optimisation /SEO Specialist,"digital marketing,seo specialist,advertising agency,online marketing,seo,seo expert,facebook marketing"
Engineering Manager,"Validation,Installation,Breakdown Maintenance,Industrial Safety,gmp,Boiler,Design,HVAC,Gensets,Air Compressor,Breakdown,RO,who"
Financial Analyst,Forecasting
PPC /Pay Per Click Specialist,"Pay Per Click,Google AdWords,Search Engine Marketing,PPC,SEM,Google Analytics,Website Analysis,Yahoo,Web Analytics,Marketing Initiatives"
Medical Representative,"marketing officer,pharma sales,Marketing Representative,marketing executive,pharma marketing,sales officer,sales representative,business development executive,Fresher,trainee,sales executive"
Project Manager-Production/Manufacturing/Maintenance,"Project management,PPAP,Automotive,External audit,Conflict resolution,Resource mobilization,PFMEA,Risk management,Project life cycle"
Public Relations & Media Relations Manager,"PR,Public Relations,Media Relations,Social Media,Marketing Communication,corporate communication,media relation,corp comm,Online Media,public relation,Journalism,Advertising,mass communication"
Fresher,"counselling,couselling,fresher,student counsellor,student counseling"
Fresher,"Help Desk,Customer Service,customer relationship,access controls,Asset Management,Vendor Management"
Software Developer,"asp dot net,.net developer,Dot Net Developer,asp.net,asp . net"
Other,"Secondary Research,Valuation,Finance,Real Estate,Primary,Report Preparation,Business Development,Due Diligence,Financial Modelling"
Lecturer/Professor,"Teaching,Educator,Counselor,Mentor,Trainer,Advisor"
Documentation/Medical Writing,"X - Ray,Medical Transcription,Ultrasound,CT Scan"
Software Developer,"cms,javascript,wordpress,drupal,joomla,ajax,cakephp,zend,knowledge,xhtml"
Sales/Business Development Manager,"Sales,Management,Sales management,Educational sales"
Associate/Senior Associate -(NonTechnical),"Outbound,Antivirus,Technical support,Technical Support Associate,process,Sales,Inbound calls,US shift,Comp"
Associate/Senior Associate -(NonTechnical),"Technical support,English,Comp,Customer Care Executive,Inbound calls,Antivirus,Issue,Software"
IT/Networking-Manager,"C#,Application Development,Senior Level,MS SQL,Visual Basic,Power Bi,MSBI,SSIS,Recruitment,Data Integration"
Sales Executive/Officer,"Escalation management,Field Sales Executive,Sales achievement,Training,Insurance sales"
Sales Trainer,"Team management,Salesforce,Usage,Sales,Skill development,Training,Productivity improvement,Training management,Sales budgeting,TSI"
Associate/Senior Associate -(Technical),"Networking,Unix,Change management,Scheduling,Publishing,Incident management,VMware,Problem management,Remedy,SIP"
Trainer,"planning,training,training manager,trainer,faculty"
Sales/Business Development Manager,"Sales,Billing,MS Office,Business reporting,Insurance sales,MIS preparation,Usage,Corporate,Networking,Retail"
Technical Support Engineer,"customer support,support service,field support,team,management,supervisor,self motivated,continuous improvement,give,enthusiastic"
Software Developer,"Javascript,SQL,XML,server,css,technical,software,developing,HTML,tracking,database,web,Application development,net,programming,Ajax,development,DOM,solid,data integrity,Stored procedures,Reporting tools,application,applications"
Senior Design Engineer,"Senior Design Engineer,Engineering Design,SACS"
Head/VP/GM-Technology(IT)/CTO,"C,Python,Six Sigma,PMP,.NET,HTML,JavaScript,SQL,Oracle,assembly language,Real Time Operating Systems"
Associate/Senior Associate -(Technical),"Technical Support Executive,Electrical engineering"
Business Analyst,"Data analysis,Automation,Google Analytics,Excel,Analytical,Business intelligence,Analytics,Product marketing,SQL,Data extraction"
Software Developer,"Detail Design,Juniper,SMSC Engineer,Routing,IP Networking,Network Elements,Network Troubleshooting,High Level Design,Data Center,Switching"
Restaurant Manager,"assistant restaurant manager,restaurant,restaurant manager"
Graphic Designer,"layout,visualization,digital media,graphic design,html,illustration,tools,part time"
Head/VP/GM/National Manager -Sales,"selling,accounts,events,prospecting,business operations,ideas,coordinating,tracking,closing,maintaining"
Web Designer,"photoshop,illustrator,seo,jquery,fireworks,css3,gui,usability,development,static"
Graphic/Web Designer,"Photoshop,HTML,Wordpress,CSS3,bootstrap,Web technologies,html5,CSS"
Software Developer,Python
Graphic/Web Designer,"server,multimedia,troubleshooting,graphics,audio,monitoring,javascript,jquery,user interface,css3"
Head/VP/GM-Operations,"Senior management,MIS reporting,Building,Training,Management,Risk,Vice President,Focus,Trade,Associate Vice President"
Head/VP/GM/National Manager -Sales,"Sales Head,Tied Channel,Sales,Business Growth,Profitability,Business Operations,New Business,Alliances"
Head/VP/GM-Operations,Project Management
Research Scientist,"QA,Life Sciences,development quality assurance,Life Cycle,Regulatory Affairs,DQA,QMS,Dmf"
Accounts Manager,"accounting,finance,financial reporting,statutory compliance,gst,vat"
Sales/Business Development Manager,"Data analysis,Consumer research,Management,Head Business Development"
Testing Engineer,"Testing,Quality,Manual Testing,ETL,BI,DW,Datawarehouse Testing"
Quality Assurance/Quality Control Executive,"assembly language,Six Sigma,PMP,C,JavaScript,.NET,HTML,Oracle,Python,SQL"
Sales Executive/Officer,"Product management,Business process,Linkedin,Automation,CV,Email,GIT,Technical,SDLC,Ideas"
Software Developer,"ajax,javascript,php,erp,website,development,software development,module,mca,application development,application,web,programming"
Associate/Senior Associate -(NonTechnical),"customer service,customer care,team,communication,bpo,call center,inbound,voice,backend,non voice,telecalling,cse,cro,cce,data entry,back office,voice process,domestic bpo,fresher,trainee,Telemarketing,Outbound,sales,hardware,networking"
Software Developer,"Oracle,Core Java,Business process,Outsourcing,Operations,spring integration,J2Ee,Spring framework,JEE,Manager Technology"
Associate/Senior Associate -(NonTechnical),"MS Office,Data entry"
Sales/Business Development Manager,"Customer relationship,Automobile,Proposal preparation,CRM strategy,Architecture,Database,Testing"
Software Developer,"Unix,Version control,Prototype,XML,MySQL,PHP,JSON,MVC,Ajax,CSS3"
Merchandiser,"Merchandising,Buyer Activities,Follow Ups,Vendor,purchase,vendor development,tracking"
Team Lead/Technical Lead,"C#,Azure,Powershell,Script Writing,API,Debugging,Devops,Application Integration"
Executive/ Sr Executive - Administration,"operations management,mobilization,Resource Mobilization,general management,interview,Recruitment"
Associate/Senior Associate -(NonTechnical),"Customer Support Executive,Customer service,Business Executive,process"
DaycareTeacher / Incharge / Attendant,"Staff Training,Day Care,Recruitment"
Associate/Senior Associate -(Technical),"process,Spot,Technical support,Night shift,International BPO"
Social Media Marketing Manager,"digital marketing,email marketing,adwords,display advertising,digital campaigns,google analytics,sem,seo"
Team Lead/Technical Lead,"java,cisco call manager,visa,j2ee,sip,offshore,communication skills"
Sales / BD Manager,"Sales,Business Development,Change Management,Mobile,mobiles,handset,mobile handset,Marketing,Relationship Management,Distribution Management,channel management,dealer management,Retailer"
Technical Support Engineer,"International Call Center,Technical Support,Maintenance,Communication Skills,PC Hardware,Technician Activities,Social Media,Analytical Ability,Soft Skills,Customer Satisfaction"
Graphic Designer,"Illustrator,Corel Draw,Photoshop"
Testing Engineer,"Manual testing,Informatica,microsoft,Process automation,System testing,PDF,Artificial Intelligence,Regression testing,Silicon,Analytics"
Team Lead/Technical Lead,"Technical Architecture,Fusion,Oracle Fusion"
Graphic/Web Designer,"Layout design,Corel Draw,Web designing,Photoshop"
Associate/Senior Associate -(NonTechnical),"Bpo Voice,Voice Process,International BPO"
Software Developer,"HTML5,ASP"
Sales/Business Development Manager,"Product training,Sales,Relationship,Banking,Recruitment"
Client Servicing/Key Account Manager,"Customer profitability,Receivable management,Education,Relationship building,Transportation,Service,Monitoring,Key accounts"
Logistics Manager,"Stores,warehouse,Logistics"
Associate/Senior Associate -(NonTechnical),"BPO,Outbound,English,Email,Inbound calls,Customer service,Troubleshooting,Technical support,Recruitment,Comp"
Software Developer,"Linux,Agile,Python,Computer science,Coding,Fixed income,Machine learning,Asset management,JIRA,Financial services"
Executive/ Sr Executive - Administration,"English,MS Office,admin executive,Billing,Stock inventory,Writing,Office management,Management,Business Executive,Application"
Head/VP/GM-Finance/Audit,"Credit Officers,Risk Management,Administration,Report Generation,Analysts,analytical skills"
Accounts Manager,"Balance Sheet Finalisation,service tax,bank reconciliation,gst,income tax,taxation,financial auditing,finance,tax audit"
Associate/Senior Associate -(NonTechnical),"accounts payable,accounting,AP"
Software Developer,"Change management,Healthcare,Analyst,Business Analyst,Social media,Problem management,Software development life cycle,Scheduling,OEE"
Client Servicing/Key Account Manager,"Copyright,Customer Service Representative,CV,Customer service,Security,Troubleshooting,CCTV"
Software Developer,"CSS,jQuery,MySQL,Javascript,HTML,Web Development,Laravel,Codeigniter"
Project Manager-IT/Software,"Networking,Telecom,LAN,WAN,Bss,VPN,Wireless,Telecommunication,Costing,Visio"
Lecturer/Professor,"Teaching,Educator,Counselor,Mentor,Trainer,Advisor"
Financial Analyst,"Business communication,Analytical skills,Business objects,Team management,management,Transition management,Trend analysis,Variance analysis,Analytics"
Head/VP/GM/National Manager -Sales,"Usage,PDF,C,Social media,Cash handling,Database,Customer service,Merchandising,Advertising"
Technical Architect,"salesforce,salesforce.com,system design,application architecture"
Project Manager-IT/Software,"Execution,Project Management,AO engagement,Monitoring Tools,Delivery Management,Stakeholder Management,System Monitoring"
Fresher,"Recruitment,Hiring,HR,Screening,Interviewing,Staffing"
Sales/Business Development Manager,"bca,cold calling,bidding,academic,customer service,documentation,selling,web development,seo,mba"
Software Developer,"Java,Webservices,Spring,Hibernate,System Design,ESB,SQL,Spring Boot,Javascript"
Software Developer,"Debugging,Troubleshooting,Python,Interpersonal skills,OOPS,Programming,developer"
Sales/Business Development Manager,"Direct sales,Cold calling,English,Networking,Business Development Manager,Customer interfacing,Data collection,Service,Digital marketing,WHO"
Software Developer,"build automation,Entity framework,MVC,microsoft,SQL"
Associate/Senior Associate -(NonTechnical),"Technical support,Outbound,Troubleshooting,RecruitmentEnglish,Antivirus,Comp,Customer Service Executive,Domestic BPO"
Associate/Senior Associate -(Technical),"Outbound,Medical,Technical support,Technical Support Associate,Email,Sales,US shift,Antivirus,Troubleshooting,Comp"
Outside Consultant,"HR,Human Resource Management,Placement Coordination,recruitment executive,recruitment officer"
Purchase Executive,"Strategic Sourcing,procurement,supply chain management,Packaging,Vendor Management"
Software Developer,Test Engineering
Associate/Senior Associate -(Technical),"Outbound,Technical Support Associate,Sales process,process,Senior,Technical,US shift,Technical support,International BPO"
Trainer,"Corporate Training,corporate trainer,technical trainer"
Software Developer,"java,mongodb,Hibernate,spring,jms"
Purchase/Vendor Development Manager,"Procurement,Supply chain management,Automation,Copyright,Chain,Purchase,Head Operations,Steel,Business Executive"
Software Developer,"software development life cycle,css,html5,ui development,design patterns,svn,software engineering,angularjs,javascript"
Telecalling/Telemarketing Executive,"good communication skill,good speeking manners,ability to face strangers,punctual,gopod efficiency"
Cashier,"Cash Handling,Cashier Activities,Day Book,Cashier,Restaurant,CSAT"
Fresher,"C#,.Net,Asp.net"
Trainee,"Excel,Sales,Conflict resolution,Analytical,Management Trainee,Power point presentation,MS Office"
Testing Engineer,"Manual testing,Eclipse,Coding,Scrum,Enterprise applications,Healthcare,JIRA,Android SDK,test driven development,Business Analyst"
Production Manager,"Production Management,production control,production planning,Production Manager,Planning,Production Support,Organizing"
Associate/Senior Associate -(NonTechnical),"Outbound,Medical,Technical support,Technical Support Associate,Email,Technical,US shift,Antivirus,Troubleshooting,Comp"
Content Developer,"Digital media,PHP,Recruitment,Bengali,LMS,Business administration,Content Editor,Journalism,Literature,Administration"
Software Developer,"Graphics,Simulation,Power management,Electronics,Hardware,Research,System analysis,Electricals"
Visualiser,"Motion Graphics,Infographics,Illustrator,animations,infographics,Corel draw,Photoshop,CorelDRAW,Visual Designer"
Graphic/Web Designer,"Illustrator,Web designing,Photoshop,CSS,Web technologies,XML,Intranet,Business Executive"
Accounts Executive/Accountant,"Tally,Retail,Accounts Executive,Retail Executive"
Accounts Manager,"Financial reporting,Due diligence,Data analysis,Accounting,International finance,Banking"
Sales Executive/Officer,"NSE,Lead generation,Compliance,Relationship,Equity,Client acquisition,Research,Revenue generation,Monitoring,HNI client handling"
Software Developer,"MySQL,Javascript,UML,server,css,Technical writing,html5,bootstrap,microsoft,Technical support,sql,cloud,ui,web,design,asp.net,mvc,api,architecture,level,Visual Studio,quality,MS SQL,infrastructure,.net,agile,angularjs,aws"
Sales Officer,"MIS reporting,Trade,Operational risk,Banking,Relationship,Client relationship,Saving"
Sales/Business Development Manager,"sales strategy,sales management,B2B Sales,corporate sales,institutional sales"
Software Developer,"soa,sql,relationship management,server,software,jquery,service oriented architectures,quality systems,software implementation,computer science,sql server 2008,design"
Creative Director,Art Director
Associate/Senior Associate -(NonTechnical),"fresher,icse,inbound process,outbound,international bpo,uk process,bcom,communication skills,back office,cbse,web chat,chat process,Aviation,Guest Relations,Public Speaking,PR"
Associate/Senior Associate -(NonTechnical),"Outbound,Telesales,Night shift,English,process,Technical,Inbound calls,Service,Printers,Business Executive"
Associate/Senior Associate -(Technical),"Outbound,Service,Technical support,process,Inbound calls,Domestic BPO,Bonus,Business Executive,Comp"
Solution Architect / Enterprise Architect,"single sign - on,single sign on,IT Infrastructure,SSO"
Architect,"layout,coordinating,material selection,ms,mep,photoshop,corel draw,co,monitoring,plumbing"
Software Developer,"coding,database design,test cases,analytical,nosql,cassandra"
Voice & Accent Trainer,"accent,auditing,soft skills,training needs,customer service,process compliance"
Sales/Business Development Manager,"Sales,Fresher,Marketing"
Software Developer,"Java EE,Hibernate,Core Java,Software Development,Spring Mvc,Multithreading,OOD,JDBC,Spring Boot,JSF"
Technical Architect,"Virtualization,Cloud computing,Server architecture,Windows Troubleshooting,Customer satisfaction,Manager Technology,Deployment,Management"
Sales Executive/Officer,"business development,sales,sales marketing,marketing executive,sales executive,sales officer,sales manager,area sales manager,territory sales manager,territory manager,area manager,regional manager,regional sales manager,regional business manager"
Sales/Business Development Manager,"Sales,Sale,Networking Sales,It Solution Sales,Structured Cabling,Passive Networking,Data Center,Cable Tray,cabling,Data Center Rack,data - centre rack,LAN,UTP Cables"
Sales/Business Development Manager,"marketing executive,distributors,customer profiling,sales strategy,market research,Business Development,sales executive"
Finance/Budgeting Manager,"fundraising,finance"
Associate/Senior Associate -(NonTechnical),"worldspan,travel sales consultants,galileo,amadeus,gds"
Software Developer,"Front end,Email,PDF,MIN,UI,phone,Strategic HR,Doc,Consultancy,Recruitment"
Outside Technical Consultant,"CVS,ERP,Rest,middle east,Technical,Customization,E-commerce,CRM,Open,WHO"
Software Developer,"Java,Angular JS,Hibernate,Core Java,Technical Leader,Technical,Javascript,Spring,JQuery,JS framework"
CSR Manager,"senior management,ngo,key skills,Corporate Social Responsibility,Govt Liasioning,corporate pr,External Communications"
Software Developer,"Asp.Net MVC,entity framework,API"
Sales Officer,"Loans,Direct Sales Associate,Policies,Bfsi,Finance,Sanction,WHO"
Surgeon,"Monitoring,Senior Resident,RAM,DNB,Dmc"
Software Developer,"Angularjs,CSS,Responsive Web Design,Javascript,Bootstrap,HTML,JSON,JQuery,Web Development,Grunt"
Software Developer,"python,open source,database,Automation,java,linux,perl,Monitoring,nosql"
Associate/Senior Associate -(NonTechnical),"PR,international bpo,chat process,Aviation,back office,web chat,Guest Relations,Public Speaking,bcom,fresher,inbound process,outbound,uk process,icse,communication skills,cbse"
Testing Engineer,"QA,Functional testing"
Sales/Business Development Manager,Sales Engineering
Software Developer,"Design Development,Software Engineering,Lighting,Computer Science,Product Quality,Automation Testing,Asset Management,GUI,Object Oriented Programming,Android"
Accounts Executive/Accountant,"NAV calculation,Fund accounting,Automation,Corporate actions,Accounting,Process improvement,Analytical,Reconciliation,Standard operating procedures,Subject Matter Expert"
Business Analyst,"Networking,Secondary research,Recruitment,Analyst,Network security,Research,IPS,Advisory,Firewall"
Recruitment Executive,"hiring,HRIS,procurement,HR,sourcing,Recruitment,staffing"
Software Developer,"Computer science,Continuous improvement"
Medical Representative,"pharmaceutical,medical,Pharma,medical billing,healthcare"
Software Developer,"CSS,Wordpress,MySQL,Javascript,PHP,HTML,JQuery,SEO,Ajax,Hosting"
"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of ÃƒÂ¢Ã¢â€šÂ¬Ã‹Å“Daily FresshÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers","mechanical operation,preventive maintenance,mechanical,engineeringbreak down maintenance,mechanical maintenance"
Software Developer,"javascript,html,ajax,jquery,php mysql,smarty,api,analytical,third party,software development life cycle"
Associate/Senior Associate -(NonTechnical),"Renewable energy,Power distribution,Power sector,Banking,Electricals"
Proof Reader,"spanish language expert,chinese,spanish,medical"
